/	mainapp.views.index	main
/admin/r/<int:content_type_id>/<path:object_id>/	django.contrib.contenttypes.views.shortcut	admin:view_on_site
/admin/social_django/association/	django.contrib.admin.options.changelist_view	admin:social_django_association_changelist
/admin/social_django/association/<path:object_id>/	django.views.generic.base.RedirectView
/admin/social_django/association/<path:object_id>/change/	django.contrib.admin.options.change_view	admin:social_django_association_change
/admin/social_django/association/<path:object_id>/delete/	django.contrib.admin.options.delete_view	admin:social_django_association_delete
/admin/social_django/association/<path:object_id>/history/	django.contrib.admin.options.history_view	admin:social_django_association_history
/admin/social_django/association/add/	django.contrib.admin.options.add_view	admin:social_django_association_add
/admin/social_django/association/autocomplete/	django.contrib.admin.options.autocomplete_view	admin:social_django_association_autocomplete
/admin/social_django/nonce/	django.contrib.admin.options.changelist_view	admin:social_django_nonce_changelist
/admin/social_django/nonce/<path:object_id>/	django.views.generic.base.RedirectView
/admin/social_django/nonce/<path:object_id>/change/	django.contrib.admin.options.change_view	admin:social_django_nonce_change
/admin/social_django/nonce/<path:object_id>/delete/	django.contrib.admin.options.delete_view	admin:social_django_nonce_delete
/admin/social_django/nonce/<path:object_id>/history/	django.contrib.admin.options.history_view	admin:social_django_nonce_history
/admin/social_django/nonce/add/	django.contrib.admin.options.add_view	admin:social_django_nonce_add
/admin/social_django/nonce/autocomplete/	django.contrib.admin.options.autocomplete_view	admin:social_django_nonce_autocomplete
/admin/social_django/usersocialauth/	django.contrib.admin.options.changelist_view	admin:social_django_usersocialauth_changelist
/admin/social_django/usersocialauth/<path:object_id>/	django.views.generic.base.RedirectView
/admin/social_django/usersocialauth/<path:object_id>/change/	django.contrib.admin.options.change_view	admin:social_django_usersocialauth_change
/admin/social_django/usersocialauth/<path:object_id>/delete/	django.contrib.admin.options.delete_view	admin:social_django_usersocialauth_delete
/admin/social_django/usersocialauth/<path:object_id>/history/	django.contrib.admin.options.history_view	admin:social_django_usersocialauth_history
/admin/social_django/usersocialauth/add/	django.contrib.admin.options.add_view	admin:social_django_usersocialauth_add
/admin/social_django/usersocialauth/autocomplete/	django.contrib.admin.options.autocomplete_view	admin:social_django_usersocialauth_autocomplete
/auth/login/	authapp.views.login	auth:login
/auth/logout/	authapp.views.logout	auth:logout
/auth/profile/	authapp.views.profile	auth:profile
/auth/register/	authapp.views.register	auth:register
/auth/verify/<str:email>/<str:activation_key>	authapp.views.verify	auth:verify
/basket/basket-add/<int:product_id>/	basketapp.views.basket_add	basket:basket_add
/basket/basket-remove/<int:id>/	basketapp.views.basket_remove	basket:basket_remove
/basket/edit/<int:name>/<int:quantity>/	basketapp.views.basket_edit	basket:basket_edit
/media/<path>	django.views.static.serve
/orders/	ordersapp.views.OrderList	orders:index
/orders/complete/<int:pk>	ordersapp.views.order_forming_complete	orders:order_forming_complete
/orders/create/	ordersapp.views.OrderCreate	orders:create
/orders/delete/<int:pk>	ordersapp.views.OrderDelete	orders:delete
/orders/read/<int:pk>	ordersapp.views.OrderDetail	orders:read
/orders/update/<int:pk>	ordersapp.views.OrderUpdate	orders:update
/products/	mainapp.views.products	products:index
/products/<int:category_id>/	mainapp.views.products	products:product
/products/<int:pk>/price/	mainapp.views.price	products:price
/products/page/<int:page>/	mainapp.views.products	products:page
/social/complete/<backend>/	social_django.views.complete	social:complete
/social/disconnect/<backend>/	social_django.views.disconnect	social:disconnect
/social/disconnect/<backend>/<association_id>/	social_django.views.disconnect	social:disconnect_individual
/social/login/<backend>/	social_django.views.auth	social:begin
